stack_id,language,framework,orm,category_group,view,measurement_category,tokens,loc,file_count,chars,view_tokens,view_loc,view_file_count,view_chars,stack_tokens,stack_loc,stack_file_count,stack_chars,warning_count,manifest_entries,python_version,tokenizer,tiktoken_version,pyyaml_version,tokenization_strategy,file_ordering,manifest_sha256,corpus_sha256,raw_json
nestjs,typescript,nestjs,prisma,opinionated,operational_extras,migrations,0,0,0,0,403,49,2,1231,4088,624,22,16839,0,22,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,fa6ea5a15e509cf56fb07156212f21a91122a0bf3fb79646898f660c63ca9198,aae4979c25b31ea82eff71475b3b5c9f73adbb9de60c9ba42d4329c32b5422a6,results/raw/nestjs.json
rails,ruby,rails,activerecord,opinionated,handwritten,api,1299,182,5,5507,2183,313,14,8987,2594,367,17,10489,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,71c002e38d39f17d390d7607643d2c2a03a441a2197bca2abe46160aa156588d,7960ad850a368b476a489851f4189d3bbd3c43344c813994c146c1c5e730ae45,results/raw/rails.json
rails,ruby,rails,activerecord,opinionated,handwritten,domain,547,86,5,2271,2183,313,14,8987,2594,367,17,10489,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,71c002e38d39f17d390d7607643d2c2a03a441a2197bca2abe46160aa156588d,7960ad850a368b476a489851f4189d3bbd3c43344c813994c146c1c5e730ae45,results/raw/rails.json
rails,ruby,rails,activerecord,opinionated,handwritten,persistence,337,45,4,1209,2183,313,14,8987,2594,367,17,10489,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,71c002e38d39f17d390d7607643d2c2a03a441a2197bca2abe46160aa156588d,7960ad850a368b476a489851f4189d3bbd3c43344c813994c146c1c5e730ae45,results/raw/rails.json
rails,ruby,rails,activerecord,opinionated,operational_extras,config,411,54,3,1502,411,54,3,1502,2594,367,17,10489,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,71c002e38d39f17d390d7607643d2c2a03a441a2197bca2abe46160aa156588d,7960ad850a368b476a489851f4189d3bbd3c43344c813994c146c1c5e730ae45,results/raw/rails.json
rails,ruby,rails,activerecord,opinionated,operational_extras,migrations,0,0,0,0,411,54,3,1502,2594,367,17,10489,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,71c002e38d39f17d390d7607643d2c2a03a441a2197bca2abe46160aa156588d,7960ad850a368b476a489851f4189d3bbd3c43344c813994c146c1c5e730ae45,results/raw/rails.json
sinatra,ruby,sinatra,activerecord,api_first,handwritten,api,1838,241,1,7203,2433,322,10,9448,2514,332,12,9651,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,013ae57fc954eb0eb41a56d2c0414167b085138861ea0a92ed4094d14be0dc3b,4b1743116195fe1330801dc08f385ec56dc6325414165c3aa2bb2f3db80560af,results/raw/sinatra.json
sinatra,ruby,sinatra,activerecord,api_first,handwritten,domain,199,27,4,779,2433,322,10,9448,2514,332,12,9651,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,013ae57fc954eb0eb41a56d2c0414167b085138861ea0a92ed4094d14be0dc3b,4b1743116195fe1330801dc08f385ec56dc6325414165c3aa2bb2f3db80560af,results/raw/sinatra.json
sinatra,ruby,sinatra,activerecord,api_first,handwritten,persistence,396,54,5,1466,2433,322,10,9448,2514,332,12,9651,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,013ae57fc954eb0eb41a56d2c0414167b085138861ea0a92ed4094d14be0dc3b,4b1743116195fe1330801dc08f385ec56dc6325414165c3aa2bb2f3db80560af,results/raw/sinatra.json
sinatra,ruby,sinatra,activerecord,api_first,operational_extras,config,81,10,2,203,81,10,2,203,2514,332,12,9651,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,013ae57fc954eb0eb41a56d2c0414167b085138861ea0a92ed4094d14be0dc3b,4b1743116195fe1330801dc08f385ec56dc6325414165c3aa2bb2f3db80560af,results/raw/sinatra.json
sinatra,ruby,sinatra,activerecord,api_first,operational_extras,migrations,0,0,0,0,81,10,2,203,2514,332,12,9651,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,013ae57fc954eb0eb41a56d2c0414167b085138861ea0a92ed4094d14be0dc3b,4b1743116195fe1330801dc08f385ec56dc6325414165c3aa2bb2f3db80560af,results/raw/sinatra.json
slim,php,slim,pdo_sqlite,api_first,handwritten,api,4251,531,7,18026,4827,622,12,20710,4905,635,13,20900,0,13,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,a155d7a58945f1f8cc87e37547136bacbff74dd19338c592655abc25122bfa5a,f1e25cba955998327d08710fd590bcb64310840a9f5cd33d53128e52c84061db,results/raw/slim.json
slim,php,slim,pdo_sqlite,api_first,handwritten,domain,0,0,0,0,4827,622,12,20710,4905,635,13,20900,0,13,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,a155d7a58945f1f8cc87e37547136bacbff74dd19338c592655abc25122bfa5a,f1e25cba955998327d08710fd590bcb64310840a9f5cd33d53128e52c84061db,results/raw/slim.json
slim,php,slim,pdo_sqlite,api_first,handwritten,persistence,576,91,5,2684,4827,622,12,20710,4905,635,13,20900,0,13,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,a155d7a58945f1f8cc87e37547136bacbff74dd19338c592655abc25122bfa5a,f1e25cba955998327d08710fd590bcb64310840a9f5cd33d53128e52c84061db,results/raw/slim.json
slim,php,slim,pdo_sqlite,api_first,operational_extras,config,78,13,1,190,78,13,1,190,4905,635,13,20900,0,13,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,a155d7a58945f1f8cc87e37547136bacbff74dd19338c592655abc25122bfa5a,f1e25cba955998327d08710fd590bcb64310840a9f5cd33d53128e52c84061db,results/raw/slim.json
slim,php,slim,pdo_sqlite,api_first,operational_extras,migrations,0,0,0,0,78,13,1,190,4905,635,13,20900,0,13,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,a155d7a58945f1f8cc87e37547136bacbff74dd19338c592655abc25122bfa5a,f1e25cba955998327d08710fd590bcb64310840a9f5cd33d53128e52c84061db,results/raw/slim.json
springboot,java,springboot,spring_data_jpa,opinionated,handwritten,api,2706,376,6,15323,4811,792,19,25679,5345,858,21,27890,0,21,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,cbce3eb5d2b1ce4a0d8fb4e463f204105fc53a021ed4c914403fe8d2d69af764,b65bda2ef740989cf51f305ae7eb637f212da9fe89e44f7e6b954622c2d32fbc,results/raw/springboot.json
springboot,java,springboot,spring_data_jpa,opinionated,handwritten,domain,1657,349,9,8235,4811,792,19,25679,5345,858,21,27890,0,21,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,cbce3eb5d2b1ce4a0d8fb4e463f204105fc53a021ed4c914403fe8d2d69af764,b65bda2ef740989cf51f305ae7eb637f212da9fe89e44f7e6b954622c2d32fbc,results/raw/springboot.json
springboot,java,springboot,spring_data_jpa,opinionated,handwritten,persistence,448,67,4,2121,4811,792,19,25679,5345,858,21,27890,0,21,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,cbce3eb5d2b1ce4a0d8fb4e463f204105fc53a021ed4c914403fe8d2d69af764,b65bda2ef740989cf51f305ae7eb637f212da9fe89e44f7e6b954622c2d32fbc,results/raw/springboot.json
springboot,java,springboot,spring_data_jpa,opinionated,operational_extras,config,534,66,2,2211,534,66,2,2211,5345,858,21,27890,0,21,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,cbce3eb5d2b1ce4a0d8fb4e463f204105fc53a021ed4c914403fe8d2d69af764,b65bda2ef740989cf51f305ae7eb637f212da9fe89e44f7e6b954622c2d32fbc,results/raw/springboot.json
springboot,java,springboot,spring_data_jpa,opinionated,operational_extras,migrations,0,0,0,0,534,66,2,2211,5345,858,21,27890,0,21,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,cbce3eb5d2b1ce4a0d8fb4e463f204105fc53a021ed4c914403fe8d2d69af764,b65bda2ef740989cf51f305ae7eb637f212da9fe89e44f7e6b954622c2d32fbc,results/raw/springboot.json
